"도로명","링크아이디","시점명","종점명","거리","차선수","평균속도","좌표"
"가락로","1230024700","방이초교","방이동고분군","844","1","17.660978822644648","LINESTRING(210686.129485 446132.329571, 210379.464043 445506.531453, 210333.701028 445414.424892, 210312.346682 445375.74903)"
"가락로","1230024800","방이동고분군","방이초교","845","1","21.172184683819765","LINESTRING(210322.851782 445369.948783, 210344.331894 445408.852423, 210390.225302 445501.221427, 210696.905203 446127.04905)"
"가로공원로","1140033300","신월사거리","가로공원로부천시계","586","2","21.24087355990784","LINESTRING(184828.650599 448508.558545, 184655.616422 448477.088665, 184482.582245 448445.618784, 184251.870009 448403.658944)"
"가로공원로","1140033400","가로공원로부천시계","신월사거리","586","2","19.658790234575015","LINESTRING(184254.017237 448391.852615, 184427.051414 448423.322495, 184600.085591 448454.792375, 184830.797827 448496.752215)"
"가로공원로","1140034700","월정초교앞","신월사거리","530","3","20.995369375640042","LINESTRING(185350.708448 448600.939106, 185194.099532 448573.226451, 185037.490616 448545.513797, 184828.678728 448508.563592)"
"가로공원로","1140034800","신월사거리","월정초교앞","530","3","24.541347654249876","LINESTRING(184830.769697 448496.747169, 184987.378613 448524.459823, 185143.987529 448552.172477, 185352.799417 448589.122683)"
"가로공원로","1150008800","강서나누리병원","월정초교앞","250","3","29.257528081797233","LINESTRING(185596.705772 448644.945927, 185522.903248 448631.743289, 185449.100723 448618.54065, 185350.697357 448600.937132)"
"가로공원로","1150008900","월정초교앞","강서나누리병원","250","3","19.897999575972865","LINESTRING(185352.810508 448589.124656, 185426.613032 448602.327294, 185500.415557 448615.529933, 185598.818923 448633.133451)"
"가로공원로","1150009000","화곡터널북단","강서나누리병원","513","3","23.30918453981055","LINESTRING(186077.814447 448806.400348, 185855.161869 448690.871733, 185596.712634 448644.94715)"
"가로공원로","1150009100","강서나누리병원","화곡터널북단","517","3","21.256424803187407","LINESTRING(185598.812061 448633.132227, 185859.06372 448679.377088, 186083.341236 448795.748841)"
"가로공원로76길","1150008400","강서나누리병원","화곡대림아파트","576","1","18.202638704877113","LINESTRING(185593.974644 448636.91441, 185626.932018 448454.531061, 185796.086239 448102.74649)"
"가로공원로76길","1150008500","화곡대림아파트","강서나누리병원","572","1","16.46109759824629","LINESTRING(185802.138434 448110.063369, 185633.689035 448460.382144, 185601.020883 448641.164967)"
